Borough,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue ID,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue Shortname,Price,Venue Likes,Venue Rating
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,4b6b4bf7f964a520f1fe2be3,MyUnique,40.88196572342435,-73.90358396335206,Thrift / Vintage Store,Thrift / Vintage,-99.0,-99.0,-99.0
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,4be72770910020a16f1ad514,Broadway Pizza & Pasta,40.87882247136464,-73.90449402840686,Pizza Place,Pizza,-99.0,-99.0,-99.0
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,4debd81822713dd973b85876,Sugarboy Bakery Cafe,40.87783170338122,-73.90266884096424,Bakery,Bakery,-99.0,-99.0,-99.0
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,4cab0bf1d971b1f7873327e1,S & S Cheesecake,40.88479273266669,-73.89986081581755,Bakery,Bakery,-99.0,-99.0,-99.0
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,4e38a2cfbd415d9f63d71183,Dunkin',40.87930809459452,-73.90506640147964,Donut Shop,Donuts,-99.0,-99.0,-99.0
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,540a0032498e77fa8221bd2f,ALDI,40.8778363,-73.9046557,Supermarket,Supermarket,-99.0,-99.0,-99.0
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,4b3789f3f964a520f34125e3,Riverdale Diner,40.88518285486937,-73.89948352054364,Diner,Diner,-99.0,-99.0,-99.0
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,4e74075e15209522b13b5637,The Putnam Trail,40.88518925064586,-73.89944963459462,Trail,Trail,-99.0,-99.0,-99.0
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,50ea5611e4b044bdeead3ade,Q'Kachapa,40.880005888670006,-73.9041570896363,Spanish Restaurant,Spanish,-99.0,-99.0,-99.0
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,4b9c9c43f964a520ac7236e3,Lot Less Closeouts,40.878270422202085,-73.9052646742604,Discount Store,Discount Store,-99.0,-99.0,-99.0
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,4b9c9c6af964a520b27236e3,Land & Sea Restaurant,40.87788463309788,-73.90587282193539,Seafood Restaurant,Seafood,-99.0,-99.0,-99.0
Bronx,Kingsbridge,40.88168737120521,-73.90281798724604,50ccb177e4b00957ca13bdd0,Gold Mine Cafe,40.87891576866267,-73.90469763627074,Café,Café,-99.0,-99.0,-99.0
Manhattan,Marble Hill,40.87655077879964,-73.91065965862981,4b4429abf964a52037f225e3,Arturo's,40.87441177110231,-73.91027100981574,Pizza Place,Pizza,-99.0,-99.0,-99.0
Manhattan,Marble Hill,40.87655077879964,-73.91065965862981,4baf59e8f964a520a6f93be3,Bikram Yoga,40.876843690797934,-73.90620384419528,Yoga Studio,Yoga Studio,-99.0,-99.0,-99.0
Manhattan,Marble Hill,40.87655077879964,-73.91065965862981,4b79cc46f964a520c5122fe3,Tibbett Diner,40.8804044222466,-73.90893738006402,Diner,Diner,-99.0,-99.0,-99.0
Manhattan,Marble Hill,40.87655077879964,-73.91065965862981,55f81cd2498ee903149fcc64,Starbucks,40.87753134921497,-73.90558216359267,Coffee Shop,Coffee Shop,-99.0,-99.0,-99.0
Manhattan,Marble Hill,40.87655077879964,-73.91065965862981,4b5357adf964a520319827e3,Dunkin',40.87713584201589,-73.90666550701411,Donut Shop,Donuts,-99.0,-99.0,-99.0
Manhattan,Marble Hill,40.87655077879964,-73.91065965862981,55f751ca498eacc0307d1cfe,Blink Fitness Riverdale,40.87714687429521,-73.90583697267095,Gym,Gym,-99.0,-99.0,-99.0
Manhattan,Marble Hill,40.87655077879964,-73.91065965862981,4a725fa1f964a520f6da1fe3,TCR The Club of Riverdale,40.8786283,-73.9145678,Tennis Stadium,Tennis,-99.0,-99.0,-99.0
Manhattan,Marble Hill,40.87655077879964,-73.91065965862981,4b9c9c6af964a520b27236e3,Land & Sea Restaurant,40.87788463309788,-73.90587282193539,Seafood Restaurant,Seafood,-99.0,-99.0,-99.0
Manhattan,Marble Hill,40.87655077879964,-73.91065965862981,546d31ca498e561c698a0320,T.J. Maxx,40.87723198343352,-73.90504239962168,Department Store,Department Store,-99.0,-99.0,-99.0
Manhattan,Marble Hill,40.87655077879964,-73.91065965862981,57655be738faa66160da7527,Starbucks,40.873754554218515,-73.90861305343668,Coffee Shop,Coffee Shop,-99.0,-99.0,-99.0
Manhattan,Marble Hill,40.87655077879964,-73.91065965862981,4b88e053f964a5208a1132e3,Rite Aid,40.875466574434704,-73.90890629016033,Pharmacy,Pharmacy,-99.0,-99.0,-99.0
Manhattan,Marble Hill,40.87655077879964,-73.91065965862981,5631194e498e2de074de661c,Vitamin Shoppe,40.87716,-73.905632,Supplement Shop,Supplement Shop,-99.0,-99.0,-99.0
Manhattan,Marble Hill,40.87655077879964,-73.91065965862981,4b9f030af964a520eb0f37e3,GameStop,40.874266802124836,-73.90934218062803,Video Game Store,Video Games,-99.0,-99.0,-99.0
Manhattan,Marble Hill,40.87655077879964,-73.91065965862981,4b9c9c43f964a520ac7236e3,Lot Less Closeouts,40.878270422202085,-73.9052646742604,Discount Store,Discount Store,-99.0,-99.0,-99.0
Manhattan,Marble Hill,40.87655077879964,-73.91065965862981,4dfe40df8877333e195b68fc,Parrilla Latina,40.87747294351472,-73.90607346968568,Steakhouse,Steakhouse,-99.0,-99.0,-99.0
Manhattan,Marble Hill,40.87655077879964,-73.91065965862981,4e4e4517bd4101d0d7a67568,Baskin-Robbins,40.8769755336728,-73.90675193198494,Ice Cream Shop,Ice Cream,-99.0,-99.0,-99.0
Manhattan,Marble Hill,40.87655077879964,-73.91065965862981,4b4f7b65f964a5205a0827e3,Subway Sandwiches,40.8746665302951,-73.9095858429637,Sandwich Place,Sandwiches,-99.0,-99.0,-99.0
Manhattan,Marble Hill,40.87655077879964,-73.91065965862981,4ec68016cc21b428e1d2060a,TD Bank,40.8794958,-73.9092856,Bank,Bank,-99.0,-99.0,-99.0
Manhattan,Marble Hill,40.87655077879964,-73.91065965862981,585c205665e7c70a2f1055ea,Boston Market,40.87743,-73.9054121,American Restaurant,American,-99.0,-99.0,-99.0
Manhattan,Marble Hill,40.87655077879964,-73.91065965862981,56229ff8498e2abb44b6f12b,Five Below,40.87763977050781,-73.90499114990234,Discount Store,Discount Store,-99.0,-99.0,-99.0
Manhattan,Marble Hill,40.87655077879964,-73.91065965862981,4e4ce4debd413c4cc66d05d0,SUBWAY,40.87849271667849,-73.90538547211088,Sandwich Place,Sandwiches,-99.0,-99.0,-99.0
Manhattan,Marble Hill,40.87655077879964,-73.91065965862981,58f4fc2b829b0c305839877b,Forever 21,40.87747,-73.90594,Clothing Store,Apparel,-99.0,-99.0,-99.0
Manhattan,Marble Hill,40.87655077879964,-73.91065965862981,53319bb511d2ef06787f02b4,Broadway Plaza,40.87753906779665,-73.90539578168178,Shopping Mall,Mall,-99.0,-99.0,-99.0
Manhattan,Marble Hill,40.87655077879964,-73.91065965862981,4d0a529133d6b60cf4cf9985,Subway,40.877720351115315,-73.90537973066263,Sandwich Place,Sandwiches,-99.0,-99.0,-99.0
Manhattan,Marble Hill,40.87655077879964,-73.91065965862981,4ed7956b8b81b2bf28adc714,Terrace View Delicatessen,40.87647647652852,-73.91274586964578,Deli / Bodega,Deli / Bodega,-99.0,-99.0,-99.0
Manhattan,Marble Hill,40.87655077879964,-73.91065965862981,4bc05fe4f8219c74ff79b110,Studio Esthetique Day Spa,40.87868612830189,-73.91520884226871,Spa,Spa,-99.0,-99.0,-99.0
Bronx,Woodlawn,40.89827261213805,-73.86731496814176,4ba50da6f964a52046d638e3,Katonah Pizza and Pasta,40.89878411126604,-73.86745706580207,Pizza Place,Pizza,-99.0,-99.0,-99.0
Bronx,Woodlawn,40.89827261213805,-73.86731496814176,46212cb5f964a5208d451fe3,Rambling House,40.898439240536966,-73.86719657644849,Pub,Pub,-99.0,-99.0,-99.0
Bronx,Woodlawn,40.89827261213805,-73.86731496814176,4c0448d9310fc9b6bf1dc761,Curry Spot,40.897624941880906,-73.86714729157393,Indian Restaurant,Indian,-99.0,-99.0,-99.0
Bronx,Woodlawn,40.89827261213805,-73.86731496814176,511edb6de4b0d58346fd272d,Patrizia's Of Woodlawn,40.900638399332884,-73.86772361835486,Italian Restaurant,Italian,-99.0,-99.0,-99.0
Bronx,Woodlawn,40.89827261213805,-73.86731496814176,4bc819a32f94d13a7219137f,The Chipper Truck,40.899619499543256,-73.87147353617637,Food Truck,Food Truck,-99.0,-99.0,-99.0
Bronx,Woodlawn,40.89827261213805,-73.86731496814176,4b79d41ef964a520b9142fe3,Behan's Pub,40.89858450390552,-73.86750725480708,Bar,Bar,-99.0,-99.0,-99.0
Bronx,Woodlawn,40.89827261213805,-73.86731496814176,544981d1498e6a33b8ab99de,Enterprise Rent-A-Car,40.89609114069422,-73.8653639853328,Rental Car Location,Rental Car,-99.0,-99.0,-99.0
Bronx,Woodlawn,40.89827261213805,-73.86731496814176,4b57443af964a5203e2e28e3,Sean's Quality Deli,40.89759465832248,-73.8671505768548,Deli / Bodega,Deli / Bodega,-99.0,-99.0,-99.0
Bronx,Woodlawn,40.89827261213805,-73.86731496814176,4cb720e464998cfadbc71aa2,Dunkin',40.896036409903786,-73.86357007637196,Donut Shop,Donuts,-99.0,-99.0,-99.0
Bronx,Woodlawn,40.89827261213805,-73.86731496814176,5aa190029e0d5450f94ed953,CTown Supermarkets,40.89741967171057,-73.86739744665735,Supermarket,Supermarket,-99.0,-99.0,-99.0
Bronx,Woodlawn,40.89827261213805,-73.86731496814176,4b69fff0f964a520d0c02be3,Metro North - Woodlawn Train Station,40.895590912855496,-73.8628137399376,Train Station,Train Station,-99.0,-99.0,-99.0
Bronx,Woodlawn,40.89827261213805,-73.86731496814176,4ca02ac42fb1a1431058fa40,Celtic House,40.89802854814876,-73.8673159628325,Pub,Pub,-99.0,-99.0,-99.0
Bronx,Woodlawn,40.89827261213805,-73.86731496814176,4d123d6c12916dcbc866d48a,Prime Cuts,40.89985495450702,-73.86761273659502,Food & Drink Shop,Food & Drink,-99.0,-99.0,-99.0
Bronx,Woodlawn,40.89827261213805,-73.86731496814176,4f57fbe9754aef915f90761f,MMJ Wines & Spirits,40.89703553264959,-73.8672423362732,Liquor Store,Liquor Store,-99.0,-99.0,-99.0
Bronx,Woodlawn,40.89827261213805,-73.86731496814176,51991339498e2821e3cf3b07,Katonah Family Deli Grocery,40.898339342064965,-73.86720111149035,Convenience Store,Convenience Store,-99.0,-99.0,-99.0
Bronx,Woodlawn,40.89827261213805,-73.86731496814176,4b79c7c2f964a5209b112fe3,Angelica's Bakery,40.89918283532642,-73.867552759052,Bakery,Bakery,-99.0,-99.0,-99.0
Bronx,Woodlawn,40.89827261213805,-73.86731496814176,4e10f7a4b0fbfef99b8e18f2,Woodlawn Heights Family Market,40.89747475761403,-73.86745032382633,Food & Drink Shop,Food & Drink,-99.0,-99.0,-99.0
